Port,Entity,Type,Period,Value
Mundra, CMA (MMT),Tied,2024-25,19.91505
Mundra, CMA (MMT),Tied,2023-24,19.646835
Mundra, CMA (MMT),Tied,2022-23,17.2780324
Mundra, CMA (MMT),Tied,2021-22,16.0377642
Mundra,AMCT (MMT),Mkt,2024-25,16.79505
Mundra,AMCT (MMT),Mkt,2023-24,8.480835
Mundra,AMCT (MMT),Mkt,2022-23,15.7369492
Mundra,AMCT (MMT),Mkt,2021-22,14.7002436
Hazira,Hazira (MMT),Mkt,2024-25,11.428035
Hazira,Hazira (MMT),Mkt,2023-24,11.96412
Hazira,Hazira (MMT),Mkt,2022-23,9.2189558
Hazira,Hazira (MMT),Mkt,2021-22,9.1390452
Mundra,MICT (MMT),Tied,2024-25,22.35876
Mundra,MICT (MMT),Tied,2023-24,19.742385
Mundra,MICT (MMT),Tied,2022-23,16.7660436
Mundra,MICT (MMT),Tied,2021-22,16.1620686
Mundra,South Basin (MMT),Tied,2024-25,49.582755
Mundra,South Basin (MMT),Tied,2023-24,47.239485
Mundra,South Basin (MMT),Tied,2022-23,42.8198372
Mundra,South Basin (MMT),Tied,2021-22,42.5259602
Mundra,T2 (MMT),Mkt,2024-25,18.230115
Mundra,T2 (MMT),Mkt,2023-24,16.245645
Mundra,T2 (MMT),Mkt,2022-23,6.71827
Mundra,T2 (MMT),Mkt,2021-22,5.6949052
